fold,train_time,precompute_time,nll_train,nll_val,nll_test,accuracy_train,accuracy_val,accuracy_test,kernel_type,kernel_params,lambda_,grad_norm_threshold,lr,alpha_std,smoothing,SEED
7,59.367860078811646,70.29488372802734,0.4548133119559483,0.6098639257606256,0.6148153699400053,0.8220786072276445,0.7191129883843717,0.7183544303797469,0.5matern,sigma=5_nu=0.5_length_scale=1,0.0005,0.001,0.01,0.01,0.01,1234
8,50.9410355091095,70.85337328910828,0.4551172158360261,0.6134711228303195,0.6231055923655063,0.8197045634397256,0.7170010559662091,0.7056962025316456,0.5matern,sigma=5_nu=0.5_length_scale=1,0.0005,0.001,0.01,0.01,0.01,1234
9,50.16689157485962,70.717946767807,0.4584958361497626,0.5805829057220169,0.6219756693779668,0.8140332366130308,0.7307286166842661,0.7056962025316456,0.5matern,sigma=5_nu=0.5_length_scale=1,0.0005,0.001,0.01,0.01,0.01,1234
1,44.117892026901245,70.77406311035156,0.35616397593490307,0.5639798450067577,0.6164035072809533,0.8591214879303521,0.760548523206751,0.7468354430379747,0.5matern,sigma=5_nu=0.5_length_scale=1,5e-05,0.001,0.01,0.01,0.01,1234
2,73.69937658309937,70.52816033363342,0.32257137240716927,0.5833391278101925,0.6157442889636076,0.8841841445719562,0.7689873417721519,0.7510548523206751,0.5matern,sigma=5_nu=0.5_length_scale=1,5e-05,0.001,0.01,0.01,0.01,1234
3,54.24110960960388,70.69959425926208,0.33855377547487137,0.5447495215049776,0.6302837902986551,0.8745548080728136,0.7795358649789029,0.7521097046413502,0.5matern,sigma=5_nu=0.5_length_scale=1,5e-05,0.001,0.01,0.01,0.01,1234
4,69.459956407547,70.71173334121704,0.3225941730353845,0.5731252034505209,0.6091879027805248,0.886030866640285,0.7658227848101266,0.7542194092827004,0.5matern,sigma=5_nu=0.5_length_scale=1,5e-05,0.001,0.01,0.01,0.01,1234
5,80.57125329971313,70.4938097000122,0.31759600481466826,0.5877187221865111,0.6166104344879022,0.8905157630919404,0.7784810126582279,0.7616033755274262,0.5matern,sigma=5_nu=0.5_length_scale=1,5e-05,0.001,0.01,0.01,0.01,1234
6,47.69523572921753,73.48729610443115,0.3495349831198061,0.5488581275135153,0.6212518104521031,0.866508376203667,0.7721518987341772,0.7489451476793249,0.5matern,sigma=5_nu=0.5_length_scale=1,5e-05,0.001,0.01,0.01,0.01,1234
7,60.69246959686279,74.24768424034119,0.3341106635163875,0.5974643147356784,0.6155273823798457,0.8764178317066738,0.7412882787750792,0.7457805907172996,0.5matern,sigma=5_nu=0.5_length_scale=1,5e-05,0.001,0.01,0.01,0.01,1234
