fold,smoothing,test_size,SEED,learning_rate,add_noise,batch_size,tau,activation,H,sigma,momentum,grad_norm_threshold,patience,n_splits,preprocess_mode,nll_train,nll_val,nll_test,acc_train,acc_val,acc_test
2,0.01,0.1,42,0.01,True,512,1e-05,softmax,1000,0.01,0.9,0,10,9,rumnet,0.36760902404785156,0.516467273235321,0.4292377233505249,0.8542274052478134,0.7826492537313433,0.8199626865671642
3,0.01,0.1,42,0.01,True,512,1e-05,softmax,1000,0.01,0.9,0,10,9,rumnet,0.39119651913642883,0.5441974997520447,0.45029789209365845,0.8403498542274053,0.7807835820895522,0.8059701492537313
4,0.01,0.1,42,0.01,True,512,1e-05,softmax,1000,0.01,0.9,0,10,9,rumnet,0.41289764642715454,0.5294382572174072,0.45396098494529724,0.8313702623906706,0.773320895522388,0.8013059701492538
5,0.01,0.1,42,0.01,True,512,1e-05,softmax,1000,0.01,0.9,0,10,9,rumnet,0.3286791443824768,0.5596562623977661,0.3945394456386566,0.873002915451895,0.8013059701492538,0.835820895522388
6,0.01,0.1,42,0.01,True,512,1e-05,softmax,1000,0.01,0.9,0,10,9,rumnet,0.39813661575317383,0.5456956028938293,0.43228164315223694,0.839533527696793,0.773320895522388,0.8143656716417911
7,0.01,0.1,42,0.01,True,512,1e-05,softmax,1000,0.01,0.9,0,10,9,rumnet,0.3832058012485504,0.5478677153587341,0.44355130195617676,0.8475801749271137,0.7611940298507462,0.816231343283582
8,0.01,0.1,42,0.01,True,512,1e-05,softmax,1000,0.01,0.9,0,10,9,rumnet,0.36886927485466003,0.5072277188301086,0.4267909824848175,0.8556268221574344,0.7845149253731343,0.8097014925373134
9,0.01,0.1,42,0.01,True,512,1e-05,softmax,1000,0.01,0.9,0,10,9,rumnet,0.3403652012348175,0.5418611168861389,0.41030454635620117,0.8653218283582089,0.7740429505135388,0.8264925373134329
