fold,kernel_type,kernel_params,Nw,rho,tol,eps,smoothing,n_splits,theta_std,lambda,patience,SEED,learning_rate,nll_train,nll_val,nll_test,acc_train,acc_val,acc_test,train_time
4,gaussian,"{'sigma': 5, 'lengthscale': 1}",10000,1000,1e-09,1e-09,0.01,9,0.001,1e-10,15,42,0.01,0.4704596107416181,0.6106005996020872,0.5425899562551014,0.7879883381924199,0.7145522388059702,0.7369402985074627,99.11937928199768
5,gaussian,"{'sigma': 5, 'lengthscale': 1}",10000,1000,1e-09,1e-09,0.01,9,0.001,1e-10,15,42,0.01,0.4653992233053936,0.6257783690495278,0.5351448628439832,0.7931195335276968,0.7052238805970149,0.7406716417910447,99.50000619888306
6,gaussian,"{'sigma': 5, 'lengthscale': 1}",10000,1000,1e-09,1e-09,0.01,9,0.001,1e-10,15,42,0.01,0.4757670143950437,0.6307814868528452,0.5438470982793552,0.7865889212827988,0.7089552238805971,0.7369402985074627,49.404414653778076
7,gaussian,"{'sigma': 5, 'lengthscale': 1}",10000,1000,1e-09,1e-09,0.01,9,0.001,1e-10,15,42,0.01,0.4739685734784985,0.6199097135173741,0.5635019558579174,0.7896209912536443,0.6986940298507462,0.7210820895522388,28.932438373565674
8,gaussian,"{'sigma': 5, 'lengthscale': 1}",10000,1000,1e-09,1e-09,0.01,9,0.001,1e-10,15,42,0.01,0.4646158094934402,0.5784187316894531,0.5349391538705399,0.7923032069970846,0.7294776119402985,0.7444029850746269,34.03261733055115
9,gaussian,"{'sigma': 5, 'lengthscale': 1}",10000,1000,1e-09,1e-09,0.01,9,0.001,1e-10,15,42,0.01,0.46360810123272794,0.6001320205816701,0.5294695042852146,0.7941930970149254,0.7180205415499533,0.7527985074626866,33.054611921310425
1,gaussian,"{'sigma': 5, 'lengthscale': 1}",20000,1000,1e-09,1e-09,0.01,9,0.001,1e-10,15,42,0.01,0.4419422774690233,0.5678654001719916,0.533801975534923,0.802798833819242,0.7360074626865671,0.7416044776119403,97.88906764984131
2,gaussian,"{'sigma': 5, 'lengthscale': 1}",20000,1000,1e-09,1e-09,0.01,9,0.001,1e-10,15,42,0.01,0.4639633917182945,0.6166472933185634,0.5575745995364972,0.7903206997084549,0.7098880597014925,0.7332089552238806,72.04900097846985
3,gaussian,"{'sigma': 5, 'lengthscale': 1}",20000,1000,1e-09,1e-09,0.01,9,0.001,1e-10,15,42,0.01,0.4392160167638484,0.6033900246691348,0.5302543070778918,0.800932944606414,0.6902985074626866,0.7434701492537313,97.73420977592468
4,gaussian,"{'sigma': 5, 'lengthscale': 1}",20000,1000,1e-09,1e-09,0.01,9,0.001,1e-10,15,42,0.01,0.46659119897959184,0.6065709128308652,0.540671732888293,0.7905539358600583,0.7126865671641791,0.7332089552238806,71.35567951202393
5,gaussian,"{'sigma': 5, 'lengthscale': 1}",20000,1000,1e-09,1e-09,0.01,9,0.001,1e-10,15,42,0.01,0.4621203079446064,0.6167994257229478,0.5337928088743296,0.7955685131195336,0.7080223880597015,0.7453358208955224,71.4304506778717
6,gaussian,"{'sigma': 5, 'lengthscale': 1}",20000,1000,1e-09,1e-09,0.01,9,0.001,1e-10,15,42,0.01,0.4694910486516035,0.6204259502353953,0.5328330424294543,0.7898542274052478,0.7033582089552238,0.7388059701492538,66.7510416507721
7,gaussian,"{'sigma': 5, 'lengthscale': 1}",20000,1000,1e-09,1e-09,0.01,9,0.001,1e-10,15,42,0.01,0.46523021820335275,0.612607813593167,0.5439036355089786,0.794402332361516,0.7033582089552238,0.7416044776119403,70.65275979042053
8,gaussian,"{'sigma': 5, 'lengthscale': 1}",20000,1000,1e-09,1e-09,0.01,9,0.001,1e-10,15,42,0.01,0.4643084912536443,0.5715208480607218,0.5310555073752332,0.7919533527696793,0.7378731343283582,0.7350746268656716,75.22404837608337
9,gaussian,"{'sigma': 5, 'lengthscale': 1}",20000,1000,1e-09,1e-09,0.01,9,0.001,1e-10,15,42,0.01,0.45733853240511313,0.603370189221522,0.5243873026833605,0.7964085820895522,0.7170868347338936,0.7444029850746269,76.31036114692688
